,World,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bonaire,Bosnia Herzegovina,Botswana,Br. Virgin Isds,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Isds,Central African Rep.,Chad,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Isds,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Dem. People's Rep. of Korea,Dem. Rep. of the Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,FS Micronesia,Faroe Isds,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City State),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Dem. Rep.,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Isds,Martinique (Overseas France),Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,N. Mariana Isds,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Rep. of Korea,Rep. of Moldova,Romania,Russian Federation,Rwanda,Saint Barthélemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Maarten,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Isds,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Turks and Caicos Isds,Tuvalu,Türkiye,USA,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Rep. of Tanzania,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Isds,Yemen,Zambia,Zimbabwe
Burkina Faso,5642319696.591999,0.0,0.0,1273322.584,0.0,904.432,0.0,0.0,0.0,0.0,446347.078,550301.951,1489.663,0.0,4549.791,139256.443,43882.124,0.0,0.0,18126768.829,0.0,5065909.029,434.009,0.0,0.0,0.0,0.0,834619.347,0.0,1053753.933,0.0,0.0,0.0,0.0,0.0,0.0,202032.311,3667923.239,0.0,262183.643,84040.686,972.687,23672985.955,71788.436,0.0,29685.96,0.0,328293.451,0.0,0.0,0.0,0.0,0.0,0.0,52145.935,163511784.847,11450.521,2612022.407,12714390.892,0.0,0.0,0.0,0.0,588777.03,0.0,655737.894,0.0,0.0,100479.203,20277622.95,0.0,0.0,0.0,3695.694,41183638.878,0.0,211507.618,36247.745,0.0,14101090.935,84322209.822,0.0,54012454.976,0.0,0.0,0.0,5429503.138,29336.574,0.0,0.0,0.0,0.0,32464.345,130925.652,54269388.251,1491843.125,7263.82,0.0,0.0,127340.478,1731182.814,0.0,11485550.727,17417.261,0.0,176606.082,0.0,0.0,156944.043,0.0,0.0,62419.53,0.0,3465.824,23131.086,25405.131,0.0,25912.749,0.0,6787943.148,0.0,129916007.673,21173.92,0.0,0.0,2732073.635,22487110.584,629964.926,0.0,0.0,0.0,3925536.885,58584.503,0.0,0.0,862206.582,0.0,0.0,30665340.741,0.0,0.0,0.0,13579302.609,3537088.215,0.0,0.0,0.0,0.0,25963.618,0.0,0.0,0.0,0.0,0.0,661.426,12601.032,0.0,0.0,0.0,17054.083,0.0,1985939.547,9481999.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52694.735,0.0,2271480.029,20314607.307,3686.51,0.0,75864.12,46070386.574,684933.651,135784.12,0.0,0.0,55191785.515,0.0,3172607.994,0.0,0.0,40308.255,0.0,6227991.932,3170369273.113,0.0,0.0,0.0,0.0,59940776.128,0.0,0.0,0.0,828694.28,0.0,0.0,0.0,11605997.646,18461762.12,76814.48,202526.759,1477296571.58,5665374.161,96201.257,0.0,0.0,0.0,0.0,11264241.694,0.0,0.0,59976.423,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,68245098.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94837.438,10927385.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148056.039,0.0,0.0,8168194.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47489560.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417065.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,26571498473.400997,277850.0,360.0,480840.56,23871.02,110345.0,0.0,0.0,23675552.8,95160.18,0.0,487976688.79,22910318.61,32236.8,2990.0,42789.19,8870476.93,0.0,645920.1,364619053.33,57857.14,0.0,0.0,0.0,775817.01,0.0,446580.09,1350.0,0.0,60674299.15,7919454.35,1793910.76,0.0,0.0,0.0,0.0,10896.4,1109868222.48,27466.4,4268932.0,0.0,37594353.65,1750114816.46,197762719.04,334049.55,13372392.5,22625.0,185470.58,0.0,389421.29,9921695.03,114083.6,1223743.1,687864.24,91549193.13,7649083.48,0.0,0.0,70558205.23,209956.68,27025.33,2326953.34,1881764.78,685440.59,3193303.85,0.0,0.0,771358.36,35729.0,73519.27,0.0,0.0,140747.93,5701164.86,407390968.09,748055.0,24571353.26,0.0,325680.99,911145283.85,661319.26,0.0,8948314.29,0.0,0.0,468950.34,27325.0,0.0,118589.16,0.0,0.0,5784.38,8006908.86,47488.83,154322391.06,94679077.38,209715.5,2262713.15,67147998.82,23730529.08,327574694.73,16050.0,1408679587.04,2483908.47,3873077.52,618850.13,0.0,746575.83,0.0,16820053.17,2928107.53,107843.01,0.0,23725.0,494363.0,2112976.39,15752543.82,5702090.0,0.0,147390845.9,98936.38,7216.44,3033257.72,0.0,0.0,0.0,2220795.56,222104380.29,419725.17,0.0,0.0,5588630.25,197019.14,720129.15,0.0,555271.43,0.0,180138.45,801258519.02,3452780.94,23981081.82,663480.44,0.0,6927586.53,0.0,0.0,5923186.85,856048.32,3366366.28,0.0,21884370.65,1036.8,3698601.06,20982668.58,47977152.37,149622525.76,11625620.96,3996.03,319417433.37,0.0,17595685.35,3453966.06,12000.0,0.0,0.0,4166.76,27960.2,0.0,0.0,0.0,1800.0,0.0,0.0,15911363.46,447938.61,7715299.41,0.0,167089.5,294751612.11,9786930.88,10180450.45,0.0,37800.0,28750130.75,0.0,1041663548.59,1814264.18,0.0,0.0,0.0,57081864.94,6604491.85,116250.0,0.0,844899805.7,3362299.63,517361.63,0.0,0.0,295265.73,341846.99,1040889.86,0.0,0.0,45954244.44,9932159030.24,4800.0,8993288.35,67781751.8,958752386.86,490039.47,5081379.1,809200.0,0.0,131784.4,3615550127.301,0.0,0.0,60651.28,100094.96
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,548132639458.21295,2291016.866,60051085.846,980921267.998,164208.807,59977593.235,1214723.362,6178941.1,298949233.522,12179336.158,5371435.123,2211417830.189,298093690.121,7057312.205,190447254.405,135995210.631,744191804.449,35720172.437,600903.365,2716374479.422,7917780.459,28396221.95,92441583.33,214592.978,12728231.603,271054421.188,3293057.376,192187230.107,1932050.63,1757455526.864,4722509.146,207268952.691,28949176.061,1814456.528,1713328.45,23623084.577,74000918.113,0.0,66699294.522,1026452.463,1041580.411,506094964.714,21107725617.97,2595536255.862,16233436.459,789186128.437,430720.829,12705611.276,102994.472,205692746.354,102787828.646,196811834.689,14266126.784,8293911.03,203324726.279,74793035.157,63381.214,15124112.157,333486193.335,1250945.229,4275442.205,196687205.989,388420329.619,327465655.189,114443016.359,3040562.353,3311832.057,32890069.627,695828.47,26944337.479,0.0,357276.888,33233620.831,465645383.963,3107871731.513,10273498.275,14397488.187,4758709.146,73052451.431,4689133058.946,223242002.512,32314730.074,119386838.488,25963196.207,7049802.897,345869993.44,44795588.305,192548.933,35032552.996,72771267.127,0.0,41192932.434,79695643.556,36517993.762,3740315507.767,1629608572.358,273828162.57,71804472.965,628873720.205,331999642.326,2321830600.256,101046835.809,10565525813.545,113736697.006,103138335.448,79661677.444,47799.716,92174145.87,8930105.887,10608688.797,146111266.659,49266685.162,161883.926,14276373.612,74379838.399,80110273.615,55652480.688,6146576.87,3491069.356,936815232.538,22377258.176,15503201.73,159203386.53,0.0,0.0,27245908.928,7420794.888,6119243729.193,18834800.211,3153987.047,189295.088,574769498.616,45202232.228,9193252.615,0.0,41851492.982,0.0,44059820.698,5007028230.581,3298715.808,317987454.445,48057795.163,2145783.769,376713972.665,1678.767,7561699.164,1623593703.225,85756659.738,213055143.427,0.0,359305601.032,14207838.301,21688390.946,1157416519.73,986559108.633,792583612.88,396733653.685,112248169.566,5374122195.36,1998928.335,293276801.117,36033368.994,4481767.608,537722.475,1857.93,7065919.765,15486333.648,0.0,32514084.361,12863164.971,32321.908,0.0,100738.717,1421971726.341,66765579.015,33482726.578,2652681.12,12170464.086,1584820333.95,28423339.68,51177693.364,574936.085,4955709.634,410744321.506,245878.706,1433886031.742,88917916.269,0.0,604727.145,21478099.28,567151168.575,4358857365.034,7036698.639,4902654.953,728338334.33,85090.916,46081741.087,0.0,893241.595,154796261.276,39360391.777,82019731.427,10478477.843,0.0,886554106.461,419752457562.151,29616694.736,343959192.614,1818032884.301,19955984590.515,55984144.387,64742094.833,13080445.387,195381.676,180749135.183,715552275.552,43061.785,4242651.23,16913775.835,8896976.337
Cayman Isds,56396845.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553887.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52896767.648,0.0,0.0,0.0,2946190.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Rep.,152594350.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5951.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144507.11,0.0,0.0,0.0,0.0,0.0,27246.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11692405.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27721.79,0.0,0.0,0.0,0.0,223200.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.3,0.0,0.0,0.0,0.0,0.0,16495.83,0.0,11705.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200742.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5125574.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.37,0.0,0.0,0.0,0.0,62153974.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7026163.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15218553.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40145185.41,0.0,0.0,0.0,0.0,4690277.28,0.0,0.0,5881396.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,97721432068.55301,24760.256,526484.064,6479077.29,93977.245,484449.57,126575513.261,530255.75,842841629.785,2664588.66,1478972.0,202486499.715,18690428.11,3010247.27,798550.06,226270361.675,39692434.27,1816859.37,12731632.1,623093171.476,2718089.347,865714.67,139415.44,115116.253,1076715805.488,0.0,389787.18,6863.0,66910.5,5060269723.62,756480.05,275245839.321,38543541.77,0.0,4900.0,93731214.209,19519749.89,1228432061.91,44543.81,26686.61,0.0,0.0,37820913947.83,41026926.301,47096.74,814080753.493,0.0,17088448.757,0.0,354704210.789,1091971.95,14109238.045,278137.6,17257143.87,19174211.46,123802872.86,0.0,221482.0,113514354.484,0.0,214469.29,154175054.779,506024668.278,11595445.61,72141366.292,1849362.27,0.0,6547088.11,43464.962,1681.5,718953.09,0.0,572911.3,167155507.704,1111773170.3,2926787.4,1219918.73,0.0,6098196.92,1137930925.683,29234598.88,103567.44,41694929.138,0.0,617298.73,183521660.984,404740.55,0.0,3019038.232,1578316.704,0.0,52487179.602,2679112.11,1960740.33,2551916268.375,111713186.927,1104395.17,5018401.759,64059045.22,189772020.731,879025245.681,25197313.74,8488195934.954,5180387.975,18728599.0,26768714.71,0.0,8230258.808,853859.0,233942.12,13402177.43,5354359.748,0.0,1670842.99,2198724.024,46126467.406,125099.28,80785.997,0.0,168004837.066,446249.23,302464.04,1939208.388,0.0,0.0,1236717.78,665336.86,1739996389.59,3098041.98,0.0,0.0,17723882.02,493807.02,608949.54,822367.77,41538701.383,0.0,27600.0,1817697092.842,504018.48,76634528.534,24405458.711,0.0,130401759.676,0.0,436699.8,90365122.885,5645562.03,18732482.096,0.0,185180162.897,159989.76,578334691.688,1494527068.898,205588802.942,135247177.141,52081019.518,6787389.998,4670208639.829,966929.99,12089487.222,344688089.195,37011.8,0.0,0.0,251849.26,1763936.32,0.0,0.0,482790.5,148249.04,130790.0,0.0,97187635.417,3940283.85,0.0,9995.0,87494.39,59199813.437,1925072.86,2820259.152,0.0,0.0,96470944.382,0.0,1867906028.308,3453419.237,0.0,0.0,3796958.87,278560660.693,940913104.629,0.0,0.0,686189164.68,0.0,1750022.08,0.0,573592.0,23383621.12,874614.97,0.0,246765.03,0.0,89580188.585,15249919793.665,42333.8,14509939.952,155589437.218,548748470.611,1033915.201,173108792.791,94232.62,0.0,107539005.746,289769972.893,0.0,0.0,3365864.51,0.0
China,3495635267560.0,1543937090.0,1137131481.0,11682167683.0,11066867.0,3243273029.0,0.0,114819740.0,9314531082.0,0.0,86814653.0,70747972672.0,4101054783.0,0.0,1271629465.0,1348460784.0,22882074500.0,186531818.0,6582986325.0,32973808430.0,212100910.0,965769003.0,344637272.0,69203431.0,1012707916.0,0.0,289608506.0,239909935.0,217819287.0,72073827084.0,709446929.0,2834857025.0,686265792.0,90075268.0,113894594.0,15325877130.0,3643309434.0,46445356456.0,77352399.0,61600256.0,374021288.0,20652108339.0,0.0,290872407878.0,3928168791.0,14784393208.0,96602858.0,1654270746.0,20865879.0,3379477600.0,2693710841.0,644625981.0,87705617.0,1124321890.0,17540311507.0,4155532133.0,1832782419.0,4345085966.0,9404790010.0,3036754515.0,46642545.0,4628341574.0,5968590359.0,16800522646.0,1789132868.0,170415618.0,159878495.0,815288902.0,50721841.0,3143304595.0,29556763.0,2664740.0,506175123.0,3707624372.0,45007570090.0,141898664.0,720844078.0,434226684.0,0.0,107059114975.0,9843738727.0,32262964.0,11805766691.0,6225821.0,27397032.0,4939388997.0,3930170730.0,97583580.0,978000440.0,449987121.0,9630.0,1935385887.0,11410045841.0,277212296.0,120463271143.0,76669369626.0,8953689705.0,15985748286.0,5265473647.0,14307278354.0,46198604773.0,1081677050.0,152008289415.0,4928928896.0,27954331004.0,8582431786.0,53832873.0,4829449602.0,19904739264.0,3675902149.0,865678619.0,2111362748.0,123891435.0,13064580248.0,3585674959.0,1987780975.0,434648452.0,1414056506.0,251642618.0,101458945549.0,619694267.0,1005105484.0,4060759585.0,5309693533.0,0.0,1039576490.0,1082539297.0,90229344099.0,4524137144.0,171722111.0,1180303.0,7738735256.0,3383809482.0,9211852759.0,0.0,533174749.0,11430127.0,2159980736.0,91201844814.0,92644919.0,7737829698.0,1160813790.0,232211070.0,18898529578.0,0.0,315601621.0,4991224704.0,5795822220.0,20227896062.0,42130391.0,12767213515.0,1330925915.0,2536023577.0,13945426958.0,52265356944.0,40052379695.0,6112620649.0,4172842577.0,146229383764.0,337236038.0,9333193522.0,115275861485.0,508854288.0,0.0,0.0,26884185.0,43128958.0,0.0,0.0,33500023.0,111538904.0,11864171.0,20922119.0,50045321813.0,4733382410.0,3445691013.0,84269941.0,810932368.0,79099846812.0,3949681213.0,6125633463.0,208412129.0,968435932.0,21812478117.0,166223161.0,40876870049.0,4968694576.0,154564947.0,833044871.0,363295862.0,10069169150.0,7515734815.0,386364216.0,3511838250.0,86026851411.0,265565476.0,3284312141.0,0.0,70803583.0,648387014.0,2376458069.0,1029041571.0,19590865.0,19680952.0,38108360633.0,525648764497.0,1383881623.0,3703502972.0,65592681317.0,78900607063.0,8174403793.0,3268080693.0,11649115947.0,186995391.0,4801347537.0,161851260645.0,2322833.0,2472029471.0,1407984792.0,1372123721.0
